LSOA Code,Major Category,April_c,Aug_c,March_c,May_c,Nov_c
E01000010,Theft,-37,4,26,-19,-4
E01000010,Vehicle Offences,-5,-5,3,6,2
E01000010,Violence Against the Person,-3,9,16,-3,-14
E01000011,Arson and Criminal Damage,-1,-1,0,1,1
E01000011,Burglary,0,1,-1,0,-1
E01000011,Drug Offences,3,0,1,3,0
E01000011,Miscellaneous Crimes Against Society,0,0,0,1,0
E01000011,Possession of Weapons,0,0,0,0,0
E01000011,Public Order Offences,1,1,1,0,0
E01000011,Robbery,1,0,1,-1,0
E01000011,Theft,0,0,2,-2,1
E01000011,Vehicle Offences,0,1,-1,1,-1
E01000011,Violence Against the Person,0,-6,1,-9,1
E01000012,Arson and Criminal Damage,1,1,2,0,2
E01000012,Burglary,0,1,1,1,-3
E01000012,Drug Offences,5,0,-1,2,-1
E01000012,Miscellaneous Crimes Against Society,0,0,0,0,0
E01000012,Possession of Weapons,0,0,0,-1,-1
E01000012,Public Order Offences,0,-1,2,0,2
E01000012,Robbery,0,0,0,-1,2
E01000012,Theft,1,-1,-2,1,-2
E01000012,Vehicle Offences,0,-5,-2,1,2
E01000012,Violence Against the Person,-3,1,8,1,-6
E01000013,Arson and Criminal Damage,-1,-1,0,-3,-3
E01000013,Burglary,-1,1,-4,-1,-2
E01000013,Drug Offences,6,0,0,1,0
E01000013,Miscellaneous Crimes Against Society,1,-1,0,0,0
E01000013,Possession of Weapons,0,-1,-1,0,1
E01000013,Public Order Offences,0,1,2,-2,-2
E01000013,Robbery,0,0,-2,-2,2
E01000013,Theft,-2,-1,-1,-6,0
E01000013,Vehicle Offences,-5,0,0,0,-2
E01000013,Violence Against the Person,1,3,0,1,7
E01000014,Arson and Criminal Damage,-2,-2,0,-1,1
E01000014,Burglary,0,2,-1,0,1
E01000014,Drug Offences,2,0,-4,-1,1
E01000014,Miscellaneous Crimes Against Society,0,0,0,0,0
E01000014,Public Order Offences,1,-1,-2,1,1
E01000014,Robbery,1,0,2,-3,1
E01000014,Theft,0,-1,2,0,-1
E01000014,Vehicle Offences,-1,1,-1,2,-1
E01000014,Violence Against the Person,1,1,4,2,-6
E01000015,Arson and Criminal Damage,-1,1,0,4,-1
E01000015,Burglary,0,1,2,-1,2
E01000015,Drug Offences,2,-1,-2,1,0
E01000015,Miscellaneous Crimes Against Society,1,1,0,0,0
E01000015,Possession of Weapons,0,-1,-1,-1,0
E01000015,Public Order Offences,0,0,1,0,0
E01000015,Robbery,0,-2,0,0,2
E01000015,Theft,-1,3,2,-1,-2
E01000015,Vehicle Offences,1,1,-3,0,1
E01000015,Violence Against the Person,-1,7,0,-4,-3
E01000016,Arson and Criminal Damage,-1,-1,0,1,0
E01000016,Burglary,0,1,-1,-2,0
E01000016,Drug Offences,0,1,0,0,0
E01000016,Miscellaneous Crimes Against Society,0,1,0,-1,0
E01000016,Public Order Offences,0,0,0,0,1
E01000016,Robbery,0,0,0,0,0
E01000016,Theft,-3,-3,-2,0,1
E01000016,Vehicle Offences,-2,0,0,-1,-1
E01000016,Violence Against the Person,1,1,4,3,3
E01000017,Arson and Criminal Damage,0,0,0,0,3
E01000017,Burglary,-1,0,0,-1,0
E01000017,Drug Offences,-1,0,-1,1,0
E01000017,Miscellaneous Crimes Against Society,0,0,0,-1,0
E01000017,Public Order Offences,0,0,-2,-1,0
E01000017,Robbery,0,0,0,-1,1
E01000017,Theft,1,0,-2,0,-1
E01000017,Vehicle Offences,-1,1,3,1,0
E01000017,Violence Against the Person,-2,-3,-1,2,-1
E01000018,Arson and Criminal Damage,0,4,-1,0,0
E01000018,Burglary,1,0,-1,0,-2
E01000018,Drug Offences,1,0,-2,1,0
E01000018,Miscellaneous Crimes Against Society,0,0,-1,0,0
E01000018,Public Order Offences,0,1,1,-1,4
E01000018,Robbery,0,-1,-1,0,0
E01000018,Theft,-1,0,-3,0,0
E01000018,Vehicle Offences,0,-3,-1,-1,1
E01000018,Violence Against the Person,-2,7,-3,0,2
E01000019,Arson and Criminal Damage,0,2,0,-1,0
E01000019,Burglary,0,2,-3,-2,1
E01000019,Drug Offences,-1,0,0,-1,0
E01000019,Miscellaneous Crimes Against Society,0,0,0,0,0
E01000019,Possession of Weapons,0,0,0,0,0
E01000019,Public Order Offences,0,-1,0,0,0
E01000019,Robbery,0,1,0,1,0
E01000019,Theft,1,0,0,1,0
E01000019,Vehicle Offences,-3,-1,0,1,0
E01000019,Violence Against the Person,2,1,1,0,3
E01000020,Arson and Criminal Damage,-9,-1,-1,0,0
E01000020,Burglary,0,0,0,-1,1
E01000020,Drug Offences,1,0,2,-1,-1
E01000020,Miscellaneous Crimes Against Society,0,1,0,0,0
E01000020,Possession of Weapons,1,0,0,1,0
E01000020,Public Order Offences,-4,0,3,0,-1
E01000020,Robbery,0,0,2,1,1
E01000020,Theft,1,1,0,0,1
E01000020,Vehicle Offences,2,-1,0,-1,-3
E01000020,Violence Against the Person,0,0,3,2,0
E01000021,Arson and Criminal Damage,3,-1,1,0,-1
E01000021,Burglary,-1,1,-1,3,0
E01000021,Drug Offences,-1,-3,0,1,3
E01000021,Miscellaneous Crimes Against Society,-1,0,0,1,0
E01000021,Possession of Weapons,0,0,-1,0,0
E01000021,Public Order Offences,0,1,0,-1,1
E01000021,Robbery,0,1,0,-1,0
E01000021,Theft,2,-2,-1,1,-1
E01000021,Vehicle Offences,1,2,0,-1,3
E01000021,Violence Against the Person,0,4,4,3,7
E01000022,Arson and Criminal Damage,-1,0,1,0,1
E01000022,Burglary,3,0,2,0,-2
E01000022,Drug Offences,1,-1,1,0,0
E01000022,Miscellaneous Crimes Against Society,0,0,0,0,1
E01000022,Possession of Weapons,0,0,0,0,0
E01000022,Public Order Offences,1,-2,0,0,0
E01000022,Robbery,0,0,0,0,0
E01000022,Theft,0,0,0,0,1
E01000022,Vehicle Offences,-1,2,0,-3,1
E01000022,Violence Against the Person,0,1,5,2,-3
E01000023,Arson and Criminal Damage,0,-3,-5,-5,-1
E01000023,Burglary,0,0,-2,0,0
E01000023,Drug Offences,1,-2,0,4,1
E01000023,Miscellaneous Crimes Against Society,-1,0,0,1,1
E01000023,Possession of Weapons,1,0,0,0,0
E01000023,Public Order Offences,-1,-1,0,-1,1
E01000023,Robbery,0,-1,-1,0,0
E01000023,Theft,0,4,3,3,1
E01000023,Vehicle Offences,-3,-4,2,3,1
E01000023,Violence Against the Person,-5,-6,-2,-8,-4
E01000024,Arson and Criminal Damage,-2,1,1,0,0
E01000024,Burglary,3,0,2,0,-1
E01000024,Drug Offences,0,1,1,1,-1
E01000024,Miscellaneous Crimes Against Society,1,0,2,0,0
E01000024,Public Order Offences,0,0,1,1,-1
E01000024,Robbery,0,0,1,0,-1
E01000024,Theft,-4,-1,2,-1,0
E01000024,Vehicle Offences,0,-1,2,-1,0
E01000024,Violence Against the Person,1,1,1,0,0
E01000025,Arson and Criminal Damage,-1,0,0,0,1
E01000025,Burglary,0,0,1,-1,2
E01000025,Drug Offences,-1,0,0,1,1
E01000025,Miscellaneous Crimes Against Society,0,0,0,1,0
E01000025,Public Order Offences,2,-1,2,2,1
E01000025,Robbery,0,-1,0,0,0
E01000025,Theft,0,0,0,0,0
E01000025,Vehicle Offences,-2,1,-1,0,-3
E01000025,Violence Against the Person,-2,7,8,7,0
E01000027,Arson and Criminal Damage,0,0,1,1,-1
E01000027,Burglary,-1,-2,2,-4,-1
E01000027,Drug Offences,-1,1,-1,2,1
E01000027,Miscellaneous Crimes Against Society,0,0,0,0,1
E01000027,Public Order Offences,0,2,-2,-1,1
E01000027,Robbery,0,0,0,-2,0
E01000027,Theft,-1,-2,1,-3,0
E01000027,Vehicle Offences,-3,1,1,0,0
E01000027,Violence Against the Person,0,1,2,-2,-5
E01000028,Arson and Criminal Damage,-1,0,1,-1,-3
E01000028,Burglary,3,-1,0,-1,0
E01000028,Drug Offences,-2,0,0,0,-1
E01000028,Miscellaneous Crimes Against Society,0,0,0,-2,0
E01000028,Possession of Weapons,0,0,0,0,0
E01000028,Public Order Offences,-1,2,2,0,-1
E01000028,Robbery,0,0,-1,-1,-1
E01000028,Theft,0,0,-1,1,-1
E01000028,Vehicle Offences,1,-1,-3,2,-1
E01000028,Violence Against the Person,-3,1,3,-3,-1
E01000029,Arson and Criminal Damage,-1,0,0,-1,-2
E01000029,Burglary,-1,1,2,-4,-2
E01000029,Drug Offences,-1,1,2,0,0
E01000029,Miscellaneous Crimes Against Society,0,0,0,0,0
E01000029,Possession of Weapons,0,0,0,0,0
E01000029,Public Order Offences,-1,0,-1,0,1
E01000029,Robbery,-2,0,0,0,0
E01000029,Theft,-1,-1,0,0,0
E01000029,Vehicle Offences,-1,0,1,2,0
E01000029,Violence Against the Person,1,6,0,-3,1
E01000030,Arson and Criminal Damage,-2,3,0,2,-3
E01000030,Burglary,3,1,-3,0,-2
E01000030,Drug Offences,1,0,0,1,-1
E01000030,Miscellaneous Crimes Against Society,0,3,0,0,0
E01000030,Possession of Weapons,0,-1,0,0,0
E01000030,Public Order Offences,0,3,0,-1,3
E01000030,Robbery,-3,1,0,-1,-1
E01000030,Theft,-7,2,2,-4,-3
E01000030,Vehicle Offences,2,-2,-1,0,-4
E01000030,Violence Against the Person,-7,-2,-3,1,2
E01000031,Arson and Criminal Damage,-1,2,-2,0,-1
E01000031,Burglary,-1,0,0,0,-1
E01000031,Drug Offences,6,1,-1,3,0
E01000031,Miscellaneous Crimes Against Society,0,2,0,-1,1
E01000031,Possession of Weapons,0,0,0,2,0
E01000031,Public Order Offences,0,-1,0,1,1
E01000031,Robbery,0,0,1,-1,0
E01000031,Theft,0,-1,1,-3,-5
E01000031,Vehicle Offences,-4,0,-1,-1,1
E01000031,Violence Against the Person,-6,7,-5,-1,-2
E01000032,Arson and Criminal Damage,-2,0,-1,0,0
E01000032,Burglary,-2,1,-2,-1,-2
E01000032,Drug Offences,-1,-2,0,6,0
E01000032,Miscellaneous Crimes Against Society,0,0,-1,0,0
E01000032,Possession of Weapons,0,0,-1,0,0
E01000032,Public Order Offences,-1,-1,-3,1,1
E01000032,Robbery,-3,-3,-2,-1,-1
E01000032,Theft,4,-2,-7,-3,6
E01000032,Vehicle Offences,1,-1,3,2,-5
E01000032,Violence Against the Person,-4,-3,3,3,-1
E01000033,Arson and Criminal Damage,0,1,-1,-1,-1
E01000033,Burglary,1,1,-1,1,0
E01000033,Drug Offences,1,0,-1,1,0
E01000033,Miscellaneous Crimes Against Society,0,0,0,1,0
E01000033,Public Order Offences,0,1,0,0,0
E01000033,Robbery,0,0,-1,0,0
E01000033,Theft,0,0,1,0,0
E01000033,Vehicle Offences,-1,1,1,-1,1
E01000033,Violence Against the Person,3,0,5,-4,-2
E01000034,Arson and Criminal Damage,3,-2,2,-1,-1
E01000034,Burglary,1,0,0,0,1
E01000034,Drug Offences,0,1,0,-1,-1
E01000034,Miscellaneous Crimes Against Society,0,0,0,-1,-1
E01000034,Public Order Offences,-1,1,-1,2,0
E01000034,Robbery,0,0,-1,-2,0
E01000034,Theft,0,0,0,0,1
E01000034,Vehicle Offences,-1,0,-1,0,1
E01000034,Violence Against the Person,2,3,3,1,0
E01000035,Arson and Criminal Damage,0,0,-2,-2,-1
E01000035,Burglary,-1,-1,-2,0,0
E01000035,Drug Offences,-3,-1,-3,0,-3
E01000035,Miscellaneous Crimes Against Society,-1,0,0,0,1
E01000035,Possession of Weapons,0,0,0,1,0
E01000035,Public Order Offences,-1,1,2,-3,1
E01000035,Robbery,0,-3,0,-2,-1
E01000035,Theft,-2,1,-1,1,-7
E01000035,Vehicle Offences,-1,-4,2,0,0
E01000035,Violence Against the Person,-11,-3,-1,-2,-2
E01000036,Arson and Criminal Damage,0,0,-1,-1,1
E01000036,Burglary,1,-1,0,-4,0
E01000036,Drug Offences,0,1,-1,2,0
E01000036,Miscellaneous Crimes Against Society,0,1,-1,0,0
E01000036,Possession of Weapons,0,0,0,0,1
E01000036,Public Order Offences,-2,0,0,2,4
E01000036,Robbery,1,0,0,-1,1
E01000036,Theft,1,2,1,-2,-1
E01000036,Vehicle Offences,-1,4,0,-4,0
E01000036,Violence Against the Person,0,-6,2,-4,-5
E01000037,Arson and Criminal Damage,0,0,-1,0,0
E01000037,Burglary,0,-1,0,-1,0
E01000037,Drug Offences,0,0,-1,1,-2
E01000037,Miscellaneous Crimes Against Society,1,0,0,0,0
E01000037,Possession of Weapons,0,0,1,0,1
E01000037,Public Order Offences,-1,-1,-1,-4,0
E01000037,Robbery,0,1,0,0,0
E01000037,Theft,-1,0,-1,-1,2
E01000037,Vehicle Offences,0,-1,0,3,2
E01000037,Violence Against the Person,1,1,4,-1,3
E01000038,Arson and Criminal Damage,0,0,1,0,0
E01000038,Burglary,-1,-1,-1,0,2
E01000038,Drug Offences,0,0,2,-1,0
E01000038,Miscellaneous Crimes Against Society,0,0,0,0,-1
E01000038,Possession of Weapons,0,0,0,0,0
E01000038,Public Order Offences,0,0,2,0,0
E01000038,Robbery,0,0,0,0,1
E01000038,Theft,-1,2,-4,1,-1
E01000038,Vehicle Offences,-1,1,1,1,2
E01000038,Violence Against the Person,-2,0,0,-3,0
E01000039,Arson and Criminal Damage,-1,4,-1,0,-1
E01000039,Burglary,0,0,-1,-1,-2
E01000039,Drug Offences,-2,0,0,4,-1
E01000039,Miscellaneous Crimes Against Society,0,0,0,-1,0
E01000039,Possession of Weapons,0,0,0,0,0
E01000039,Public Order Offences,2,3,0,2,1
E01000039,Robbery,0,0,1,0,-1
E01000039,Theft,-1,0,0,0,0
E01000039,Vehicle Offences,-1,-1,4,0,1
E01000039,Violence Against the Person,-1,3,-1,-5,1
E01000040,Arson and Criminal Damage,-2,-1,0,-2,0
E01000040,Burglary,-1,1,0,0,2
E01000040,Drug Offences,0,-3,1,0,1
E01000040,Miscellaneous Crimes Against Society,-1,1,-1,0,-1
E01000040,Possession of Weapons,0,0,0,-1,0
E01000040,Public Order Offences,-1,-2,1,-4,1
E01000040,Robbery,0,-1,0,0,-1
E01000040,Theft,0,3,1,0,-2
E01000040,Vehicle Offences,-1,3,2,-3,-1
E01000040,Violence Against the Person,1,-3,1,0,-3
E01000041,Arson and Criminal Damage,0,0,-1,0,1
E01000041,Burglary,-1,0,-2,1,2
E01000041,Drug Offences,-1,0,-1,1,3
E01000041,Miscellaneous Crimes Against Society,0,0,0,0,0
E01000041,Possession of Weapons,0,0,0,0,0
E01000041,Public Order Offences,0,0,0,-2,-2
E01000041,Robbery,0,0,0,-1,0
E01000041,Theft,0,-1,0,0,1
E01000041,Vehicle Offences,0,1,-3,0,4
E01000041,Violence Against the Person,4,-1,3,5,-1
E01000042,Arson and Criminal Damage,1,0,-1,0,2
E01000042,Burglary,0,0,-2,0,0
E01000042,Drug Offences,1,0,0,0,1
E01000042,Miscellaneous Crimes Against Society,0,-1,0,0,0
E01000042,Possession of Weapons,0,0,-1,0,-1
E01000042,Public Order Offences,0,0,2,-1,1
E01000042,Robbery,-2,0,0,0,-1
E01000042,Theft,-1,-1,1,2,-2
E01000042,Vehicle Offences,2,-1,0,0,0
E01000042,Violence Against the Person,4,9,6,4,1
E01000043,Arson and Criminal Damage,1,0,0,-1,0
E01000043,Burglary,-1,-2,0,-1,-3
E01000043,Drug Offences,2,2,2,0,0
E01000043,Miscellaneous Crimes Against Society,2,1,0,1,1
E01000043,Possession of Weapons,0,0,1,1,0
E01000043,Public Order Offences,-2,0,0,-4,-1
E01000043,Robbery,0,0,-1,0,-1
E01000043,Theft,0,-1,0,0,0
E01000043,Vehicle Offences,0,-3,-1,0,2
E01000043,Violence Against the Person,0,1,3,-1,3
E01000044,Arson and Criminal Damage,0,0,1,0,2
E01000044,Burglary,-2,-1,1,-2,1
E01000044,Drug Offences,0,-1,2,2,-1
E01000044,Miscellaneous Crimes Against Society,0,0,0,1,0
E01000044,Possession of Weapons,0,0,0,-2,0
E01000044,Public Order Offences,-1,1,0,-2,-1
E01000044,Robbery,0,0,0,0,0
E01000044,Theft,0,1,0,-1,2
E01000044,Vehicle Offences,-1,2,1,0,2
E01000044,Violence Against the Person,-1,-3,-2,1,-5
E01000045,Arson and Criminal Damage,1,-2,-8,-1,-1
E01000045,Burglary,-1,-2,0,-1,-2
E01000045,Drug Offences,2,0,0,4,1
E01000045,Miscellaneous Crimes Against Society,-1,0,0,-1,0
E01000045,Possession of Weapons,1,0,0,0,0
E01000045,Public Order Offences,-1,-2,-1,0,5
E01000045,Robbery,0,0,0,0,0
E01000045,Theft,-1,7,18,2,-9
E01000045,Vehicle Offences,-3,-2,-3,-2,-3
E01000045,Violence Against the Person,-1,-6,-2,0,0
E01000046,Arson and Criminal Damage,-1,-2,-2,-1,1
E01000046,Burglary,0,0,0,0,0
E01000046,Drug Offences,-1,-1,0,2,0
E01000046,Miscellaneous Crimes Against Society,1,0,0,0,0
E01000046,Possession of Weapons,0,0,0,0,0
E01000046,Public Order Offences,0,1,1,0,0
E01000046,Robbery,0,-1,2,1,0
E01000046,Theft,-1,1,-1,0,-1
E01000046,Vehicle Offences,2,0,0,0,0
E01000046,Violence Against the Person,1,4,6,0,1
E01000048,Arson and Criminal Damage,-2,-2,-1,0,0
E01000048,Burglary,-1,0,-1,0,0
E01000048,Drug Offences,2,-1,1,0,0
E01000048,Miscellaneous Crimes Against Society,0,-2,0,0,0
E01000048,Possession of Weapons,0,0,0,0,-1
E01000048,Public Order Offences,0,1,0,0,0
E01000048,Robbery,-1,0,1,0,0
E01000048,Theft,-1,-1,0,-2,0
E01000048,Vehicle Offences,1,0,-1,-4,0
E01000048,Violence Against the Person,-3,1,-2,-1,1
E01000049,Arson and Criminal Damage,1,-1,1,3,-2
E01000049,Burglary,-3,1,-3,0,-3
E01000049,Drug Offences,0,0,2,1,-2
E01000049,Miscellaneous Crimes Against Society,0,0,0,1,-1
E01000049,Possession of Weapons,0,0,0,-1,0
E01000049,Public Order Offences,-1,0,0,1,0
E01000049,Robbery,0,-1,2,-2,-2
E01000049,Theft,-5,-2,5,-5,-3
E01000049,Vehicle Offences,-5,-2,0,-5,1
E01000049,Violence Against the Person,-5,0,1,4,2
E01000050,Arson and Criminal Damage,0,1,1,0,-1
E01000050,Burglary,1,0,-1,1,0
E01000050,Drug Offences,2,-3,-1,1,0
E01000050,Miscellaneous Crimes Against Society,0,0,0,0,0
E01000050,Possession of Weapons,0,0,-1,0,0
E01000050,Public Order Offences,0,-1,0,0,1
E01000050,Robbery,-1,0,1,0,-1
E01000050,Theft,1,0,-4,1,-1
E01000050,Vehicle Offences,-1,2,2,0,2
E01000050,Violence Against the Person,6,-1,3,-3,2
E01000051,Arson and Criminal Damage,-1,0,0,-1,1
E01000051,Burglary,0,0,0,0,0
E01000051,Drug Offences,1,0,3,4,1
E01000051,Miscellaneous Crimes Against Society,0,-1,0,0,1
E01000051,Possession of Weapons,0,0,0,0,0
E01000051,Public Order Offences,1,0,1,1,0
E01000051,Robbery,-1,0,0,-1,-1
E01000051,Theft,0,-1,-1,0,1
E01000051,Vehicle Offences,0,0,-3,-1,-1
E01000051,Violence Against the Person,2,2,0,3,1
E01000052,Arson and Criminal Damage,-1,1,2,0,0
E01000052,Burglary,-1,1,1,0,1
E01000052,Drug Offences,1,0,-2,0,-3
E01000052,Miscellaneous Crimes Against Society,-1,0,0,0,0
E01000052,Possession of Weapons,0,0,0,-1,0
E01000052,Public Order Offences,0,0,0,-1,-1
E01000052,Robbery,0,0,1,1,-2
E01000052,Theft,0,0,1,1,1
E01000052,Vehicle Offences,-6,0,0,0,-1
E01000052,Violence Against the Person,1,-1,-2,-2,-7
E01000053,Arson and Criminal Damage,0,1,0,0,-1
E01000053,Burglary,-1,0,0,-3,1
E01000053,Drug Offences,1,-1,-1,2,1
E01000053,Miscellaneous Crimes Against Society,0,0,0,0,0
E01000053,Possession of Weapons,0,0,0,0,0
E01000053,Public Order Offences,-1,2,-1,1,2
E01000053,Robbery,0,-1,-1,-2,-1
E01000053,Theft,-2,-2,-1,-2,-2
E01000053,Vehicle Offences,-3,0,0,0,-4
E01000053,Violence Against the Person,2,1,-1,-2,0
E01000054,Arson and Criminal Damage,1,0,-2,-1,0
E01000054,Burglary,-3,1,-3,-1,-1
E01000054,Drug Offences,0,0,1,1,1
E01000054,Miscellaneous Crimes Against Society,0,0,0,0,0
E01000054,Possession of Weapons,0,-1,0,0,0
E01000054,Public Order Offences,1,1,0,-4,0
E01000054,Robbery,0,0,0,0,3
E01000054,Theft,-2,0,0,-1,1
E01000054,Vehicle Offences,1,0,0,1,0
E01000054,Violence Against the Person,-2,4,5,1,4
E01000055,Arson and Criminal Damage,-2,0,-2,0,-1
E01000055,Burglary,0,1,0,0,-2
E01000055,Drug Offences,0,2,0,-1,0
E01000055,Miscellaneous Crimes Against Society,0,0,2,0,1
E01000055,Possession of Weapons,0,0,-1,0,0
E01000055,Public Order Offences,1,-1,1,1,0
E01000055,Robbery,0,0,1,0,1
E01000055,Theft,0,0,1,2,1
E01000055,Vehicle Offences,-1,1,1,1,0
E01000055,Violence Against the Person,-1,-4,6,-7,1
E01000056,Arson and Criminal Damage,-1,-1,0,-1,-2
E01000056,Burglary,-2,-2,-1,0,2
E01000056,Drug Offences,4,0,-1,1,3
E01000056,Miscellaneous Crimes Against Society,0,0,0,0,2
E01000056,Possession of Weapons,0,0,0,-2,0
E01000056,Public Order Offences,-1,0,-1,0,1
E01000056,Robbery,-2,-1,0,-2,-1
E01000056,Theft,0,1,-1,-5,-1
E01000056,Vehicle Offences,-3,-4,-1,-2,-4
E01000056,Violence Against the Person,1,-1,8,3,-4
E01000057,Arson and Criminal Damage,1,-1,-4,0,-1
E01000057,Burglary,0,0,0,0,-1
E01000057,Drug Offences,0,0,1,0,0
E01000057,Miscellaneous Crimes Against Society,0,1,0,-1,0
E01000057,Possession of Weapons,0,-1,0,0,0
E01000057,Public Order Offences,-1,2,1,-2,1
E01000057,Robbery,0,0,1,-2,0
E01000057,Theft,-1,1,4,0,3
E01000057,Vehicle Offences,-2,0,1,3,3
E01000057,Violence Against the Person,3,6,8,-1,4
E01000058,Arson and Criminal Damage,2,0,-2,0,-2
E01000058,Burglary,0,0,1,1,3
E01000058,Drug Offences,1,0,0,0,-1
E01000058,Miscellaneous Crimes Against Society,0,-1,0,-1,0
E01000058,Possession of Weapons,0,0,0,-1,0
E01000058,Public Order Offences,0,0,-1,0,-1
E01000058,Robbery,0,0,0,-1,1
E01000058,Theft,-2,3,0,1,1
E01000058,Vehicle Offences,1,2,-1,0,1
E01000058,Violence Against the Person,2,0,-1,1,-5
E01000059,Arson and Criminal Damage,0,0,-1,3,0
E01000059,Burglary,-2,-1,-2,1,1
E01000059,Drug Offences,0,1,3,0,0
E01000059,Miscellaneous Crimes Against Society,2,-1,-1,0,1
E01000059,Possession of Weapons,0,0,0,0,0
E01000059,Public Order Offences,-1,0,0,0,0
E01000059,Robbery,0,0,-1,0,0
E01000059,Theft,-1,0,0,0,1
E01000059,Vehicle Offences,1,0,-1,-2,-1
E01000059,Violence Against the Person,3,2,-1,-1,-1
E01000060,Arson and Criminal Damage,-4,2,-1,-3,0
E01000060,Burglary,1,0,2,0,-3
E01000060,Drug Offences,1,2,2,2,0
E01000060,Miscellaneous Crimes Against Society,0,0,0,0,0
E01000060,Possession of Weapons,0,-1,0,0,0
E01000060,Public Order Offences,1,-1,0,-2,0
E01000060,Robbery,0,1,-2,-3,0
E01000060,Theft,-5,-1,-3,-3,-4
E01000060,Vehicle Offences,4,3,0,-3,0
E01000060,Violence Against the Person,-6,0,6,-1,3
E01000061,Arson and Criminal Damage,-1,-3,1,0,1
E01000061,Burglary,0,-2,0,0,1
E01000061,Drug Offences,0,3,1,0,-2
E01000061,Miscellaneous Crimes Against Society,1,0,0,0,1
E01000061,Possession of Weapons,0,0,0,1,0
E01000061,Public Order Offences,-1,0,-2,-3,-2
E01000061,Robbery,0,2,-2,-2,1
E01000061,Theft,0,-2,-3,0,-1
E01000061,Vehicle Offences,-1,1,2,3,-3
E01000061,Violence Against the Person,4,3,0,-1,4
E01000062,Arson and Criminal Damage,2,0,0,-1,0
E01000062,Burglary,0,-1,3,-2,-1
E01000062,Drug Offences,0,1,0,0,0
E01000062,Miscellaneous Crimes Against Society,0,2,1,0,0
E01000062,Public Order Offences,-1,0,0,1,1
E01000062,Robbery,0,0,0,-2,1
E01000062,Theft,0,0,-1,-2,0
E01000062,Vehicle Offences,2,-2,0,0,0
E01000062,Violence Against the Person,1,4,0,11,-1
E01000063,Arson and Criminal Damage,1,1,0,0,0
E01000063,Burglary,-1,-1,2,0,1
E01000063,Drug Offences,0,0,0,0,0
E01000063,Miscellaneous Crimes Against Society,-1,0,0,0,-1
E01000063,Possession of Weapons,0,0,0,0,0
E01000063,Public Order Offences,0,4,0,-2,3
E01000063,Robbery,0,0,0,0,0
E01000063,Theft,1,0,0,0,1
E01000063,Vehicle Offences,0,-1,0,-3,2
E01000063,Violence Against the Person,-2,1,0,1,-1
E01000064,Arson and Criminal Damage,-1,1,0,-4,0
E01000064,Burglary,0,0,0,-4,-3
E01000064,Drug Offences,1,0,0,0,1
E01000064,Miscellaneous Crimes Against Society,0,0,0,-1,0
E01000064,Possession of Weapons,0,0,0,-1,1
E01000064,Public Order Offences,-1,1,1,4,1
E01000064,Robbery,-2,0,-1,-2,-1
E01000064,Theft,-1,-4,3,4,1
E01000064,Vehicle Offences,0,0,2,1,2
